controller,time_s,tilt_rad,tilt_deg,tilt_rate_rad_s,tilt_rate_deg_s,x_m,x_dot_m_s,command_accel_m_s2,command_motor_rpm,target_tilt_deg,kp,ki,kd,expert_balance,expert_recovery,expert_drift
PID normal,0.38500000000000023,-0.06317334325456568,-3.6195659462178615,-0.5869789679304005,-33.631417525356845,0.07990007810866978,0.24939415555547567,-0.788644041964923,-22.149987815062875,-5.825260098505892,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.39000000000000024,-0.06608735163945197,-3.7865263281375796,-0.5788541583885499,-33.16590022926119,0.08113703579901671,0.24538908746113372,-0.825577468880677,-23.187306190174436,-5.757701415958752,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.39500000000000024,-0.06895977941282988,-3.951104316508294,-0.5703436397215047,-32.67828342817219,0.08235350902248437,0.24120037645555695,-0.8620043514087875,-24.21039767531148,-5.686248784869077,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.40000000000000024,-0.07178871203734571,-4.113190216419919,-0.5614528641606387,-32.16887951193651,0.08354858601056107,0.23683060084910917,-0.8979011735575648,-25.21860179641769,-5.610944506154841,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.40500000000000025,-0.07457226277037426,-4.272675925483002,-0.5521874990862167,-31.638013197524216,0.08472136817860104,0.23228245587291935,-0.933244690826339,-26.211265704578725,-5.531833361375624,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.41000000000000025,-0.07730857372897869,-4.429454994846432,-0.5425534227997175,-31.086021286800747,0.0858709707069618,0.2275587522923696,-0.9680119401916808,-27.18774445649685,-5.448962590921582,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.41500000000000026,-0.0799958169338707,-4.583422689011953,-0.5325567203522399,-30.513252427512178,0.0869965231150851,0.22266241497100503,-1.002180250189523,-28.14740129765911,-5.362381871135404,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.42000000000000026,-0.08263219533267598,-4.734476044462953,-0.5222036794387755,-29.920066878044405,0.08809716982827219,0.21759648138439805,-1.0357272511221214,-29.08960794901172,-5.272143290355353,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.42500000000000027,-0.0852159438028547,-4.882513927127577,-0.5115007863666412,-29.306836276431298,0.08917207073690185,0.21236410008335596,-1.0686308854167372,-30.01374489789574,-5.17830132386451,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.43000000000000027,-0.08774533013466533,-5.027437088698403,-0.5004547221048565,-28.673943414000746,0.09022040174783591,0.20696852910572558,-1.1008694181606902,-30.919201693936333,-5.080912807728643,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4350000000000003,-0.09021865599458931,-5.169148221832612,-0.48907235841976104,-28.0217820139618,0.09124135532775308,0.20141313433592628,-1.1324214478350743,-31.8053772505117,-4.980036911502595,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4400000000000003,-0.09263425786965772,-5.30755201425792,-0.47736075410066403,-27.350756515150355,0.09223414103814738,0.1957013878112312,-1.163265917266892,-32.67168015235652,-4.8757351097828225,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4450000000000003,-0.09499050799313584,-5.442555201810395,-0.465327151277843,-26.661281861065998,0.09319798606172205,0.18983686597371802,-1.193382124816727,-33.51752896978082,-4.7680711525816815,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4500000000000003,-0.09728581525202959,-5.574066620430749,-0.452978971833742,-25.953783294248808,0.09413213571990461,0.18382324786672524,-1.2227497358163086,-34.34235257990729,-4.657111034497274,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4550000000000003,-0.09951862607687856,-5.7019972571457185,-0.4403238139067815,-25.228696155962446,0.09503585398120218,0.17766431327457882,-1.25134879426744,-35.14559049524934,-4.542922962651209,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4600000000000003,-0.10168742531429396,-5.826260300060813,-0.4273694484857836,-24.486465691069053,0.09590842396011057,0.1713639408042962,-1.2791597348107908,-35.92669319986859,-4.425577323365375,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4650000000000003,-0.10379073708268627,-5.946771187389889,-0.4141238160916416,-23.72754685790295,0.09674914840628333,0.1649261059079336,-1.306163394970008,-36.68512249326502,-4.30514664754796,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4700000000000003,-0.10582712561160722,-6.0634476555459145,-0.4005950235415325,-22.952404142873668,0.09755735018366088,0.15835487884421467,-1.3323410276734686,-37.42035184206499,-4.1817055747582925,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4750000000000003,-0.10779519606510422,-6.176209786315691,-0.3867913407896852,-22.161511379455288,0.09833237273925238,0.15165442257806777,-1.3576743140528156,-38.13186673948304,-4.055330815919833,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4800000000000003,-0.1096935953494523,-6.284980053139492,-0.3727211978374861,-21.35535157114854,0.09907358056125681,0.14482899061670348,-1.3821453765142082,-38.81916507244325,-3.926101114650605,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4850000000000003,-0.11152101290558929,-6.389683366514252,-0.35839318170452666,-20.534416717934608,0.09978035962620226,0.13788292478088518,-1.4057367920749473,-39.481757496153826,-3.794097207180789,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.4900000000000003,-0.11327618148653584,-6.490247118536455,-0.34381603345108874,-19.69920764567612,0.10045211783477635,0.13082065291008174,-1.4284316059548987,-40.11916781583822,-3.6594017808277624,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.49500000000000033,-0.11495787792003129,-6.5866012265979474,-0.32899864524151645,-18.850233837860717,0.101088285436014,0.12364668650024536,-1.450213345408852,-40.73093337523288,-3.5220994309999747,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.5000000000000003,-0.11656492385656128,-6.678678176244765,-0.3139500574369542,-17.98801326902726,0.10168831543950257,0.11636561827302667,-1.4710660337827253,-41.31660545137232,-3.3822766167023244,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.5050000000000003,-0.11809618650289357,-6.766413063205638,-0.29867945570503496,-17.11307223916312,0.10225168401525901,0.10898211967532523,-1.4909742047733114,-41.875749655090644,-3.24002161451736,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.5100000000000003,-0.11955057934117382,-6.84974363459315,-0.2831961681332902,-16.225945208314783,0.10277789088092804,0.10150093830817522,-1.5099229168680954,-42.40794633658065,-3.095424471038654,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.5150000000000003,-0.12092706283356579,-6.928610329276638,-0.2675096623323278,-15.327174630612157,0.10326645967594586,0.09392689528408385,-1.5278977679385881,-42.912790995264686,-2.9485769537349618,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.5200000000000004,-0.12222464511234857,-7.002956317421859,-0.2516295425141867,-14.417310786870614,0.10371693832230992,0.0862648825120727,-1.5448849099575952,-43.38989469314629,-2.7995725002264487,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.5250000000000004,-0.12344238265530942,-7.072727539188146,-0.23556554653073408,-13.496911614903674,0.10412889937159146,0.07851985990982065,-1.5608710638079353,-43.83888447073025,-2.6485061659571536,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.5300000000000004,-0.12457938094619393,-7.137872742569416,-0.2193275428565277,-12.566542536653724,0.10450194033782559,0.07069685254246927,-1.5758435341473174,-44.25940376452016,-2.495474570251135,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.5350000000000004,-0.1256347951198966,-7.198343520360866,-0.2029255275002189,-11.626776281228464,0.10483568401591124,0.0628009476878284,-1.5897902242914213,-44.65111282502694,-2.3405758407432393,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.5400000000000004,-0.12660783059199443,-7.254094346228592,-0.1863696208283336,-10.678192702916958,0.1051297787851531,0.0548372918279092,-1.6026996510746991,-45.01368913415193,-2.183909556179238,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.5450000000000004,-0.12749774367214547,-7.305082609854734,-0.16967006428513254,-9.721378593251458,0.10538389889757721,0.0468110875669145,-1.614560959646073,-45.346827820741176,-2.0255766875841505,13.5,0.25,2.25,1.0,0.0,0.0
